دانشکده,رشته,سن,شهر سکونت,قومیت,اغلب شب‌ها در چه بازه‌ی زمانی می‌خوابید؟,اغلب صبح‌ها چه ساعتی بیدار می‌شوید؟,سطح تحمل سر و صدا در شما چه‌گونه است؟,عادات مطالعه شما به چه صورت است؟,شما در نظافت و سازماندهی جزو کدام دسته از افراد هستید؟,دین
مدیریت,شیمی محض,20,تهران,other,12-1,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مددکاری اجتماعی,24,تهران,فارس,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,مهندسی کامپیوتر - نرم افزار,23,مازندران,فارس,10-11,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,rare,20,اصفهان,ترک,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,فیزیک,19,اصفهان,کرد,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان-سنی
فیزیک,مدیریت بیمه,27,rare,گیلک,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
حقوق و علوم سیاسی,فیزیک,19,rare,فارس,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,rare,22,گیلان,ترک,12-1,5-6,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,مهندسی برق-کنترل,19,آذربایجان غربی,کرد,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,شیمی محض,18,یزد,other,12-1,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
هنر و معماری,جامعه شناسی,19,اصفهان,فارس,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
فنی مهندسی,فیزیک,30,rare,لر,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,زبان و ادبیات فارسی,22,لرستان,ترک,1-2,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست فناوری,23,اردبیل,فارس,11-12,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم جغرافیایی,مهندسی کامپیوتر - نرم افزار,21,rare,فارس,10-11,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
علوم زیستی,rare,21,مرکزی,فارس,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
تربیت بدنی و علوم ورزشی,rare,21,آذربایجان غربی,مازندرانی,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مدیریت بیمه,22,قزوین,کرد,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم مالی,مهندسی برق-کنترل,26,آذربایجان شرقی,فارس,11-12,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
ادبیات و علوم انسانی,زیست شناسی - علوم گیاهی,21,تهران,ترک,12-1,4-5,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,فقه و حقوق اسلامی,30,قزوین,کرد,12-1,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,فیزیک,18,مازندران,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,آموزش زبان انگلیسی,18,زنجان,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,مهندسی مکانیک,21,زنجان,لر,11-12,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست فناوری,25,آذربایجان شرقی,ترک,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,زیست شناسی - علوم گیاهی,18,لرستان,فارس,10-11,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,rare,23,کرمان,لر,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان-سنی
علوم مالی,rare,21,اصفهان,فارس,11-12,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم ریاضی و کامپیوتر,زیست فناوری,21,قزوین,گیلک,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,چندرسانه‌ای,21,مازندران,فارس,11-12,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
شیمی,مشاوره,21,اصفهان,فارس,12-1,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
روانشناسی و علوم تربیتی,آموزش زبان انگلیسی,19,لرستان,لر,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
هنر و معماری,زیست شناسی - علوم گیاهی,26,مازندران,لر,2-3,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,امکان تمرکز با موسیقی یا سر و صدا,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,مددکاری اجتماعی,20,فارس,لر,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
روانشناسی و علوم تربیتی,جامعه شناسی,29,سمنان,مازندرانی,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,rare,18,فارس,لر,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,آموزش زبان انگلیسی,20,سمنان,other,11-12,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
فیزیک,فیزیک,22,تهران,گیلک,12-1,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,راحت طلبان: افرادی که نسبت به نظافت کمتر حساس هستند و به محیط های کمی آشفته عادت دارن,مسلمان- شیعه
تربیت بدنی و علوم ورزشی,مهندسی صنایع,20,اردبیل,ترک,10-11,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,rare,20,آذربایجان غربی,مازندرانی,2-3,7-8,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فیزیک,مهندسی مکانیک,22,تهران,فارس,11-12,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,rare,19,اصفهان,لر,12-1,6-7,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
هنر و معماری,rare,22,لرستان,فارس,11-12,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
مدیریت,مهندسی مکانیک,18,اصفهان,فارس,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان-سنی
فنی مهندسی,جغرافیا,20,زنجان,مازندرانی,10-11,6-7,علاقه مند به محیط های پر جنب و جوش,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
علوم زیستی,rare,29,کرمانشاه,ترک,10-11,7-8,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
فنی مهندسی,زیست شناسی - علوم گیاهی,20,یزد,لر,11-12,4-5,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
ادبیات و علوم انسانی,مدیریت بیمه,26,مازندران,فارس,10-11,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
تربیت بدنی و علوم ورزشی,rare,24,آذربایجان شرقی,فارس,2-3,5-6,حساس به سر و صدا و نیازمند به محیطی آرام,نیاز به تمرکز در سکوت کامل,نظم طلبان: افرادی که به تمیزی و نظم حساس هستند و مرتب بودن اتاق برایشان اهمیت دارد,مسلمان- شیعه
